日期,中证800指数价格,中证800日收益率,中证800累计净值,中证800仓位,DR007仓位,DR007年化利率%,DR007日收益率,纯DR007累计净值,策略日收益率,策略累计净值,20日年化波动率,波动率25%分位,波动率75%分位,MA20,买入信号,卖出信号,策略回撤,中证800回撤
2007-08-23,5010.485,0.015292760001742511,5.092499707794028,1,0,2.3812,6.447582097490745e-05,1.0380084709074648,0.015292760001742511,1.9521664915649914,0.3429720011835813,0.3839176927704617,0.5133631728462871,4602.4123500000005,1,0,-0.01546454758387561,0.0
2007-08-24,5074.757,0.012827500730967056,5.1578237515182055,1,0,2.4498,6.631106566823419e-05,1.0380773023553433,0.012827500730967056,1.9772079086625107,0.3430566601881613,0.3694289045807492,0.5133631728462871,4642.53485,1,0,-0.002835418348344887,0.0
2007-08-27,5089.931,0.0029900939099152257,5.173246128906036,1,0,2.3673,6.41038071125255e-05,1.0381438470625015,0.0029900939099152257,1.9831199459888387,0.33951023818361453,0.3658158473252747,0.5133631728462871,4678.522849999999,1,0,0.0,0.0
2007-08-28,5097.715,0.0015292938155744285,5.1811575422174165,1,0,2.4415,6.608908229055466e-05,1.0382124570366396,0.0015292938155744285,1.9861527190577817,0.3399490486860364,0.36230128890687824,0.5133631728462871,4712.39925,1,0,0.0,0.0
2007-08-29,5030.275,-0.013229456727180788,5.112613642715945,1,0,2.443,6.61292010961656e-05,1.0382811131969916,-0.013229456727180788,1.9598769976074344,0.2969714912827837,0.36192775227505986,0.5133631728462871,4752.20615,1,0,-0.013229456727180788,-0.013229456727180788
2007-08-30,5116.211,0.017083757846241054,5.199956296149493,1,0,2.6883,7.268209438238138e-05,1.0383565776428565,0.017083757846241054,1.9933590616429777,0.28135242371966773,0.35831556105653817,0.5087129578856187,4788.716549999999,1,0,0.0,0.0
2007-08-31,5171.065,0.010721606282461549,5.255708180242815,1,0,2.4961,6.754902951389141e-05,1.0384267176219657,0.010721606282461549,2.014731072681491,0.2670663395920023,0.34954395367884755,0.5057110483891085,4820.977199999999,1,0,0.0,0.0
2007-09-03,5290.065,0.023012667603288683,5.376656045614628,1,0,2.4963,6.755437587990798e-05,1.0384968678907718,0.023012667603288683,2.061095409167127,0.26730745185509236,0.34615571127654776,0.5016825228434767,4854.0488,1,0,0.0,0.0
2007-09-04,5238.67,-0.009715381569035397,5.324419780566021,1,0,2.2348,6.0555100859449595e-05,1.0385597541733491,-0.009715381569035397,2.0410710808168813,0.27320714577691857,0.3457094339601461,0.49692196388033055,4884.17155,1,0,-0.009715381569035508,-0.009715381569035286
2007-09-05,5247.879,0.0017578889298237588,5.333779519156013,1,0,2.3683,6.413057238141562e-05,1.0386263576048365,0.0017578889298237588,2.0446590570748326,0.2642518095867113,0.3445430218261528,0.49390909293101865,4917.77495,1,0,-0.007974571200920932,-0.007974571200920821
2007-09-06,5297.744,0.009501934019439107,5.384460740221269,1,0,2.4385,6.600884292162768e-05,1.0386949161289298,0.009501934019439107,2.064087272527406,0.2596407492034067,0.3430354954370163,0.490379600261478,4949.17965,1,0,0.0,0.0
2007-09-07,5179.155,-0.022384811346112587,5.263930602350866,1,0,2.8066,7.583675849365257e-05,1.0387736873844329,-0.022384811346112587,2.017883068329968,0.27093904243845923,0.34286106545918354,0.488086070765236,4977.6708,1,0,-0.022384811346112587,-0.022384811346112587
2007-09-10,5265.05,0.016584751759698424,5.351231584671135,1,0,3.61,9.71654442987191e-05,1.0388746202912933,0.016584751759698424,2.0513491580983194,0.2717623222088042,0.34188345588600183,0.4873912503738964,5010.888499999999,1,0,-0.0061713061257769875,-0.0061713061257770985
2007-09-11,4997.92,-0.05073646024254286,5.079729036126828,0,1,3.8512,0.00010353664556195241,1.0389821818846376,-0.05073646024254286,1.9472709630948903,0.33655487431076314,0.339839346060431,0.4870645385744811,5026.677750000001,0,1,-0.056594656140424804,-0.056594656140425026
2007-09-12,5070.108,0.01444360854115323,5.153098653819773,1,0,3.891,0.00010458652800471313,1.0390908454236998,0.00010458652800471313,1.9474746214040048,0.3383569222200894,0.33922190919273326,0.48635911052281716,5046.2279499999995,1,0,-0.056495988651009466,-0.042968478658085285
